全国地方公共団体コード,都道府県,市区町村,収録状況,障害者_要介護度の下限,障害者_認知症度の下限,障害者_寝たきり度の下限,特別障害者_要介護度の下限,特別障害者_認知症度の下限,特別障害者_寝たきり度の下限,根拠（例規名など）,公布日,最終改正日,出典URL,データ読み取り日
072052,福島県,白河市,読めた,,Ⅲa,A1,,,,白河市介護保険要介護等認定者に対する障害者控除対象者に準ずる認定に関する規程,2006-11-29,2019-12-09,http://www.city.shirakawa.fukushima.jp/shirakawa/contents/reiki/H418902200007/H418902200007_j.html,2026-08-27
072133,福島県,伊達市,読めた,,Ⅳ,,,,,伊達市要介護認定等高齢者に係る障害者控除対象者認定に関する要綱,2008-08-01,2024-03-22,https://en3-jg.d1-law.com/date/d1w_reiki/H420902500076/H420902500076_j.html,2026-08-27
073032,福島県,国見町,読めた,要介護3,Ⅱa,A1,,Ⅳ,,国見町障害者控除対象者認定実施要綱,2002-12-24,2025-04-01,https://www1.g-reiki.net/town.kunimi.fukushima/reiki_honbun/c514RG00001143.html,2026-08-27
073083,福島県,川俣町,読めた,,Ⅱb,A1,,Ⅲa,,老齢者の所得税法施行令等に基づく障害者控除にかかる認定書交付要綱,2009-12-01,2009-12-01,https://www1.g-reiki.net/kawamata/reiki_honbun/c519RG00000763.html,2026-08-27
073687,福島県,南会津町,読めた(本文の文章から),,,,要介護1,,,南会津町老齢者の所得税法上の障害者控除対象者認定事務処理要綱,2006-03-20,2023-06-30,https://www1.g-reiki.net/minamiaizu/reiki_honbun/r298RG00000656.html,2026-08-27
074021,福島県,北塩原村,読めた,,,J1,,Ⅲa,B1,北塩原村要介護者に対する障害者控除認定事務取扱要綱,2021-12-01,2021-12-01,https://en3-jg.d1-law.com/kitashiobara/d1w_reiki/H503902200020/H503902200020_j.html,2026-08-27
074071,福島県,磐梯町,読めた,,,J1,,Ⅲa,B1,磐梯町要介護者に対する障害者控除認定事務取扱要綱,2007-11-01,2007-11-01,https://www.town.bandai.fukushima.jp/data/reiki_int/reiki_honbun/c545RG00000566.html,2026-08-27
074217,福島県,会津坂下町,読めた,,Ⅲa,B1,,,,会津坂下町障害者控除対象者認定要綱,2012-11-09,2016-03-25,https://www1.g-reiki.net/town.aizubange/reiki_honbun/c547RG00000474.html,2026-08-27
074225,福島県,湯川村,読めた,,Ⅰ,J1,,,B1,湯川村要介護者に対する障害者控除対象者認定事務取扱要綱,2022-12-28,2022-12-28,https://en3-jg.d1-law.com/yugawa/d1w_reiki/H504902500072/H504902500072_j.html,2026-08-27
074616,福島県,西郷村,読めた,,,J1,要介護3,Ⅲa,A1,西郷村要介護等認定者の障害者控除に係る障害認定に関する基準,2002-12-01,2017-12-01,https://www1.g-reiki.net/vill.nishigo/reiki_honbun/c557RG00000654.html,2026-08-27
074667,福島県,矢吹町,読めた,,,J1,要介護3,Ⅲa,A1,介護保険法により要介護認定及び要支援認定を受けた者の障害者控除に係る障害認定に関する基準,2002-11-29,2021-03-23,https://en3-jg.d1-law.com/yabuki/d1w_reiki/H414909201129A/H414909201129A_j.html,2026-08-27
075027,福島県,玉川村,読めた,,Ⅰ,A1,,Ⅰ,B1,要介護等認定者に係る所得税法上の障害者控除の認定取扱要綱,2002-12-10,2010-03-26,https://www.vill.tamakawa.fukushima.jp/reiki_int/reiki_honbun/c569RG00000379.html,2026-08-27
075035,福島県,平田村,読めた,,Ⅰ,A1,,Ⅰ,B1,要介護等認定者に係る所得税法上の障害者控除の認定取扱要綱,2002-12-25,2020-03-10,https://www1.g-reiki.net/vill.hirata.fukushima/reiki_honbun/c570RG00000523.html,2026-08-27
075043,福島県,浅川町,読めた,,Ⅰ,J1,,Ⅰ,J1,要介護等認定者に係る所得税法上の障害者控除の認定取扱要綱,2023-02-03,2023-02-03,http://www.town.asakawa.fukushima.jp/reiki/reiki_honbun/c571RG00000782.html,2026-08-27
075051,福島県,古殿町,読めた,,Ⅰ,A1,,Ⅳ,B1,要介護認定者に係る所得税法上の障害者控除の認定取扱要綱,2002-11-28,2026-02-17,https://www.town.furudono.fukushima.jp/reiki_int/reiki_honbun/c572RG00000410.html,2026-08-27
075213,福島県,三春町,基準表が本文に無い,,,,,,,要介護認定者に係る障害者控除対象者の認定等に関する基準,2002-12-01,2002-12-01,https://www1.g-reiki.net/town.miharu.fukushima/reiki_honbun/c573RG00000655.html,2026-08-27
075418,福島県,広野町,読めた(本文の文章から),,,,,Ⅱa,A1,広野町介護保険要介護等認定者に対する障害者控除対象者に準ずる認定に関する要綱,2007-12-01,2015-11-30,https://en3-jg.d1-law.com/hirono/d1w_reiki/H419902200023/H419902200023_j.html,2026-08-27
075451,福島県,大熊町,読めた,要介護1,,B1,要介護3,Ⅲa,,大熊町要介護認定者に係る障害者控除対象者に準ずる認定要綱,2018-12-11,2018-12-11,https://www.town.okuma.fukushima.jp/reikishu/reiki_honbun/c584RG00000540.html,2026-08-27
075469,福島県,双葉町,読めた,要介護1,Ⅱa,A1,要介護4,,B1,双葉町要介護認定者の障害者控除対象者の認定に関する要綱,2017-11-24,2025-10-01,https://www1.g-reiki.net/futaba/reiki_honbun/c585RG00000758.html,2026-08-27
075477,福島県,浪江町,読めた,要介護1,M,A1,要介護4,M,,浪江町障害者控除対象者認定要綱,2004-11-10,2007-03-01,https://www1.g-reiki.net/town.namie.fukushima/reiki_honbun/c586RG00000463.html,2026-08-27
075485,福島県,葛尾村,読めた,要介護1,Ⅱa,A1,要介護4,Ⅳ,,葛尾村障害者控除対象者認定要綱,2004-12-01,2022-01-13,https://en3-jg.d1-law.com/katsurao/d1w_reiki/H416902200018/H416902200018_j.html,2026-08-27
075647,福島県,飯舘村,読めた,,Ⅱa,A1,,,B1,飯舘村障害者控除対象者認定書交付に関する要綱,2010-12-01,2010-12-01,https://www1.g-reiki.net/vill.iitate/reiki_honbun/c591RG00000442.html,2026-08-27
082040,茨城県,古河市,読めた(本文の文章から),,Ⅰ,J1,,,,古河市障害者控除対象者認定に関する規則,2005-09-12,2021-03-30,https://www1.g-reiki.net/koga/reiki_honbun/r380RG00000448.html,2026-08-27
082058,茨城県,石岡市,読めた,,Ⅱa,A1,,Ⅲa,,石岡市障害者控除対象者認定書交付に関する要綱,2007-03-01,2022-03-10,https://www1.g-reiki.net/isioka.city/reiki_honbun/r310RG00000903.html,2026-08-27
082074,茨城県,結城市,基準表が本文に無い,,,,,,,結城市証明書交付事務等における本人確認事務取扱要項,2009-02-19,2025-12-26,https://www1.g-reiki.net/yuki/reiki_honbun/e008RG00000717.html,2026-08-27
082082,茨城県,龍ケ崎市,読めた(本文の文章から),,,,,Ⅱa,A1,龍ケ崎市障害者控除対象者認定書交付に関する要綱,2002-12-18,2025-03-18,https://www1.g-reiki.net/ryugasaki/reiki_honbun/e009RG00000607.html,2026-08-27
082104,茨城県,下妻市,読めた,,Ⅰ,J1,,Ⅲa,B1,下妻市障害者控除対象者認定書交付に関する要項,2002-11-25,2021-03-30,https://www.city.shimotsuma.lg.jp/reiki_int/reiki_honbun/e010RG00000638.html,2026-08-27
082112,茨城県,常総市,読めた,,Ⅱa,,,Ⅲa,,常総市障害者控除対象者認定規則,2002-12-25,2019-12-27,https://www1.g-reiki.net/joso/reiki_honbun/r251RG00000357.html,2026-08-27
082121,茨城県,常陸太田市,読めた,,Ⅰ,J1,,,,常陸太田市精神又は身体に障害のある年齢６５歳以上の者に対する障害者控除対象者認定実施要項,2002-12-06,2022-03-31,http://www.city.hitachiota.ibaraki.jp/data/reiki/reiki_honbun/e012RG00000602.html,2026-08-27
082155,茨城県,北茨城市,読めた,,Ⅱa,,,Ⅲa,,北茨城市障害者控除対象者認定事務取扱要綱,2024-03-29,2024-03-29,https://www.city.kitaibaraki.lg.jp/reiki_int/reiki_honbun/e014RG00001073.html,2026-08-27
082163,茨城県,笠間市,読めた(本文の文章から),,Ⅱa,A1,,Ⅳ,B1,笠間市障害者控除対象者の認定に関する要綱,2006-12-26,2016-03-31,https://www.city.kasama.lg.jp/reiki/reiki_honbun/r358RG00000816.html,2026-08-27
082171,茨城県,取手市,基準表が本文に無い,,,,,,,取手市障害者控除対象者認定事務の処理に関する規程,2002-08-30,2022-03-23,http://reiki.city.toride.ibaraki.jp/reiki_honbun/e016RG00000646.html,2026-08-27
082198,茨城県,牛久市,読めた(本文の文章から),,,,,Ⅲa,B1,牛久市障害者控除対象者の認定事務処理に関する規則,2003-01-21,2025-12-12,https://www.city.ushiku.lg.jp/d1w_reiki/reiki_honbun/z500RG00000573.html,2026-08-27
082201,茨城県,つくば市,基準表が本文に無い,,,,,,,つくば市事務決裁規程,1988-07-13,2026-03-31,https://www1.g-reiki.net/tsukuba/reiki_honbun/e019RG00000052.html,2026-08-27
082228,茨城県,鹿嶋市,読めた(別表から),,,,,,A1,鹿嶋市要介護認定者に係る障害者控除対象者認定に関する規則,2006-12-22,2021-09-14,https://www.city.kashima.ibaraki.jp/13reiki/reiki_honbun/e021RG00000652.html,2026-08-27
082236,茨城県,潮来市,読めた,,,A1,,,B1,潮来市障害者控除対象者認定実施要綱,2013-01-04,2023-03-31,https://www.city.itako.lg.jp/reiki_int/reiki_honbun/e053RG00000786.html,2026-08-27
082244,茨城県,守谷市,読めた,要支援1,Ⅱa,J2,,Ⅲa,B1,守谷市障害者控除対象者認定書交付に関する要綱,2002-09-20,2021-04-22,https://www1.g-reiki.net/city.moriya/reiki_honbun/e084RG00000557.html,2026-08-27
082252,茨城県,常陸大宮市,読めた,,Ⅰ,J1,,,,常陸大宮市障害者控除対象者認定事務の処理に関する規程,2002-11-21,2021-09-30,https://www.city.hitachiomiya.lg.jp/reiki_int/reiki_honbun/r064RG00000498.html,2026-08-27
082261,茨城県,那珂市,読めた(本文の文章から),,Ⅰ,J1,,,,那珂市障害者控除対象者認定書交付事務に関する要項,2003-11-26,2021-04-01,https://www1.g-reiki.net/naka/reiki_honbun/r089RG00000550.html,2026-08-27
082279,茨城県,筑西市,読めた(別表から),要介護1,,,,,,筑西市身体障害者福祉法施行細則,2005-03-28,2017-03-01,https://www1.g-reiki.net/city.chikusei/reiki_honbun/r156RG00000556.html,2026-08-27
082287,茨城県,坂東市,基準表が本文に無い,,,,,,,坂東市障害者控除対象者認定書交付に関する要綱,2005-03-22,2021-03-31,https://www.city.bando.lg.jp/data/reiki/reiki_honbun/r155RG00000172.html,2026-08-27
