募集回,募集区分,区市町,住宅名,募集戸数,建築年度,エレベーター,入居人数
令和4年11月,居室内で病死等があった住宅,墨田区,立花六丁目,1,昭和51,有,２人以上
令和4年11月,居室内で病死等があった住宅,墨田区,立花六丁目,1,昭和51,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,多摩市,多摩ニュータウン諏訪五丁目,13,平成30,有,４人以上
令和4年11月,世帯向（一般募集住宅）,多摩市,多摩ニュータウン豊ケ丘,2,昭和48,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,上水本町,1,昭和60,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,中島町,2,平成6,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,大沼町一丁目,2,平成6,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,大沼町一丁目,2,平成3,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,大沼町一丁目第３,2,平成10,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,学園東町第３,1,平成7,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,学園西町一丁目,1,昭和54,無,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,小川東町,1,昭和62,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,津田町三丁目,2,平成6,無,２人以上
令和4年11月,居室内で病死等があった住宅,小平市,津田町三丁目,1,昭和60,有,２人以上
令和4年11月,居室内で病死等があった住宅,小平市,美園町一丁目,1,平成2,有,２人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小平市,花小金井六丁目,1,平成6,有,４人以上
令和4年11月,若年夫婦・子育て世帯向（定期使用住宅）,小金井市,小金井中町二丁目,1,昭和56,無,３人以上
